,방송일시,노출(분),상품명,상품군,판매단가,취급액,판매수량,요일,휴일,공휴일,남여,무이자/일시불
0,2019-01-01 6:00,20,테이트 남성 셀린니트3종,6,0,2099000,53,Tuesday,No,Yes,0,2
1,2019-01-01 6:00,20,테이트 여성 셀린니트3종,6,0,4371000,110,Tuesday,No,Yes,1,2
2,2019-01-01 6:20,20,테이트 남성 셀린니트3종,6,0,3262000,82,Tuesday,No,Yes,0,2
3,2019-01-01 6:20,20,테이트 여성 셀린니트3종,6,0,6955000,175,Tuesday,No,Yes,1,2
4,2019-01-01 6:40,20,테이트 남성 셀린니트3종,6,0,6672000,168,Tuesday,No,Yes,0,2
5,2019-01-01 6:40,20,테이트 여성 셀린니트3종,6,0,9337000,235,Tuesday,No,Yes,1,2
6,2019-01-01 7:00,20,오모떼 레이스 파운데이션 브라,5,0,6819000,116,Tuesday,No,Yes,2,2
7,2019-01-01 7:20,20,오모떼 레이스 파운데이션 브라,5,0,15689000,266,Tuesday,No,Yes,2,2
8,2019-01-01 7:40,20,오모떼 레이스 파운데이션 브라,5,0,25370000,430,Tuesday,No,Yes,2,2
9,2019-01-01 8:00,20,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,6,0,16133000,270,Tuesday,No,Yes,0,2
10,2019-01-01 8:20,20,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,6,0,30061000,502,Tuesday,No,Yes,0,2
11,2019-01-01 8:40,20,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,6,0,53542000,894,Tuesday,No,Yes,0,2
12,2019-01-01 9:00,20,보코 리버시블 무스탕,6,0,16075000,204,Tuesday,No,Yes,2,2
13,2019-01-01 9:20,20,보코 리버시블 무스탕,6,0,25628000,325,Tuesday,No,Yes,2,2
14,2019-01-01 9:40,20,보코 리버시블 무스탕,6,0,49270000,624,Tuesday,No,Yes,2,2
15,2019-01-01 10:00,20,CERINI by PAT 남성 풀패키지 기모니트 3종,6,0,48799000,611,Tuesday,No,Yes,0,2
