방송일시,노출(분),상품명,상품군,판매단가,취급액,요일,휴일,공휴일,남여,무이자/일시불,최저기온,최고기온,평균기온,강수량,미세먼지농도,소비자물가지수,시각,시각인덱스,New상품명,공휴일 여부,휴일 여부,New요일
2019-04-22 22:20,20,보루네오 루나 유로탑 멀티수납형 LED 침대 K 킹,0,2,27142000,Monday,No,No,2,2,10.2,25.6,17.6,0,49,104.87,22:20:00,134,5,0,0,0
2019-03-25 10:40,20,일시불  쿠쿠전기밥솥 6인용,9,1,6620000,Monday,No,No,2,1,0.4,13.8,7.2,0,37,104.49,10:40:00,64,59,0,0,0
2019-07-03 17:00,20,유귀열의 The 귀한 능이 누룽지삼계탕 8팩,3,0,45006000,Wednesday,No,No,2,2,18.4,28.5,23.1,0,25,104.56,17:00:00,102,0,0,0,2
2019-12-24 18:40,20,국내산 손질 통오징어 21미,3,0,58507000,Tuesday,No,No,2,2,-2,9,2.1,0,36,105.12,18:40:00,112,55,0,0,1
2019-07-24 7:00,20,티젠 히비스커스 분말,2,0,7195000,Wednesday,No,No,2,2,24.8,29.7,26.8,0.5,19,104.56,7:00:00,42,0,0,0,2
2019-08-11 23:00,20,무이자 올리고 가스와이드그릴레인지 프리미엄형,9,1,4204000,Sunday,Yes,No,2,0,24.8,32.3,28.3,8,20,104.81,23:00:00,138,40,0,1,6
2019-08-01 22:40,20,(무)[보루네오] 피올레 천연소가죽 소파 3인용,0,3,5738000,Thursday,No,No,2,2,24.6,33.1,28.4,3.4,15,104.81,22:40:00,136,8,0,0,3
2019-05-31 22:40,20,무이자 LG 휘센 씽큐 에어컨 스탠드형FQ17V9KWA1,1,5,7237000,Friday,No,No,2,0,14.4,24,18.6,0.8,22,105.05,22:40:00,136,7,0,0,4
2019-06-12 11:00,20,보몽드 샐비어 시어서커 리플 침구세트 K,10,0,16089000,Wednesday,No,No,2,2,14.3,25.9,19.7,0,22,104.88,11:00:00,66,11,0,0,2
2019-04-30 8:20,20,쿠미투니카 쿨 레이시 란쥬쉐이퍼&팬티,5,0,29061000,Tuesday,No,No,2,2,9.8,20.5,14.6,0.1,24,104.87,8:20:00,50,0,0,0,1
