방송일시,노출(분),상품명,상품군,판매단가,취급액,요일,휴일,공휴일,남여,무이자/일시불,최저기온,최고기온,평균기온,강수량,미세먼지농도,소비자물가지수,시각,시각인덱스,New상품명,공휴일 여부,휴일 여부,New요일
2019-11-08 2:00,20,초특가 자미코코 3단 접이식 텐셀 매트 싱글 + 경추베개,4,0,7429000,Friday,No,No,2,2,2.3,15.3,7.8,0,33,104.87,2:00:00,12,0,0,0,4
2019-10-21 1:00,20,국내제작 김병지 고밀도  풀확장 코일카매트,4,0,11620000,Monday,No,No,2,2,9.5,23,15.3,0,28,105.46,1:00:00,6,0,0,0,0
2019-07-23 0:40,20,푸마 썸머 트렁크 패키지,5,0,6573000,Tuesday,No,No,2,2,24.2,32.8,27.9,0,21,104.56,0:40:00,4,19,0,0,1
2019-12-03 6:20,20,뱅뱅 남성 본딩기모데님3종,6,0,6003000,Tuesday,No,No,0,2,-2.7,6.8,2.4,0.5,20,105.12,6:20:00,38,0,0,0,1
2019-09-05 14:00,20,일시불 해피콜  IH 진공 스텐 냄비,9,0,9435000,Thursday,No,No,2,1,21.8,29,24.2,22,17,105.2,14:00:00,84,0,0,0,3
2019-08-22 14:00,20,알비에로 마르티니 1A클라쎄 버킷 드로잉 백,8,2,899000,Thursday,No,No,2,2,23,30.3,25.8,25.2,26,104.81,14:00:00,84,0,0,0,3
2019-08-01 20:20,20,푸마 DRY-CELL 퓨징 슬림라이트 브라 패키지,5,1,25260000,Thursday,No,No,2,2,24.6,33.1,28.4,3.4,15,104.81,20:20:00,122,65,0,0,3
2019-12-22 18:00,20,일시불쿠첸압력밥솥 10인용,9,1,23720000,Sunday,Yes,No,2,1,-1.1,9,3,0.1,39,105.12,18:00:00,108,4,0,1,6
2019-05-18 8:20,20,프라다 자카드 토트백,8,3,10163000,Saturday,Yes,No,2,2,16.4,21.8,18.8,21.3,22,105.05,8:20:00,50,30,0,1,5
2019-04-08 0:00,20,보루네오 루나 유로탑 멀티수납형 LED 침대 Q 퀸,0,2,21719000,Monday,No,No,2,2,5.1,19.1,11.8,0,34,104.87,0:00:00,0,5,0,0,0
2019-04-27 15:40,20,일시불 쿠첸 압력밥솥 6인용 (A1),9,1,12220000,Saturday,Yes,No,2,1,4.9,17.8,11.4,0.1,15,104.87,15:40:00,94,4,0,1,5
2019-04-30 18:40,20,유귀열의 귀한 갓김치3kg+총각김치3kg (총6kg),3,0,59565000,Tuesday,No,No,2,2,9.8,20.5,14.6,0.1,24,104.87,18:40:00,112,0,0,0,1
2019-06-17 13:00,20,무이자 린나이 자동불꽃조절 가스레인지 3구,9,2,5534000,Monday,No,No,2,0,16.8,26.8,21.3,0,22,104.88,13:00:00,78,12,0,0,0
2019-08-21 23:40,20,일시불 코지마 안마의자 오딧세이,4,4,8581000,Wednesday,No,No,2,1,22.5,30.1,25.8,8.6,28,104.81,23:40:00,142,0,0,0,2
