,방송일시,노출(분),상품명,상품군,판매단가,취급액,판매수량,요일,휴일,공휴일
0,2019-01-01 6:00,20,테이트 남성 셀린니트3종,의류,39900,2099000,53,Tuesday,No,Yes
1,2019-01-01 6:00,20,테이트 여성 셀린니트3종,의류,39900,4371000,110,Tuesday,No,Yes
2,2019-01-01 6:20,20,테이트 남성 셀린니트3종,의류,39900,3262000,82,Tuesday,No,Yes
3,2019-01-01 6:20,20,테이트 여성 셀린니트3종,의류,39900,6955000,175,Tuesday,No,Yes
4,2019-01-01 6:40,20,테이트 남성 셀린니트3종,의류,39900,6672000,168,Tuesday,No,Yes
5,2019-01-01 6:40,20,테이트 여성 셀린니트3종,의류,39900,9337000,235,Tuesday,No,Yes
6,2019-01-01 7:00,20,오모떼 레이스 파운데이션 브라,속옷,59000,6819000,116,Tuesday,No,Yes
7,2019-01-01 7:20,20,오모떼 레이스 파운데이션 브라,속옷,59000,15689000,266,Tuesday,No,Yes
8,2019-01-01 7:40,20,오모떼 레이스 파운데이션 브라,속옷,59000,25370000,430,Tuesday,No,Yes
9,2019-01-01 8:00,20,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,의류,59900,16133000,270,Tuesday,No,Yes
10,2019-01-01 8:20,20,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,의류,59900,30061000,502,Tuesday,No,Yes
11,2019-01-01 8:40,20,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,의류,59900,53542000,894,Tuesday,No,Yes
12,2019-01-01 9:00,20,보코 리버시블 무스탕,의류,79000,16075000,204,Tuesday,No,Yes
13,2019-01-01 9:20,20,보코 리버시블 무스탕,의류,79000,25628000,325,Tuesday,No,Yes
14,2019-01-01 9:40,20,보코 리버시블 무스탕,의류,79000,49270000,624,Tuesday,No,Yes
15,2019-01-01 10:00,20,CERINI by PAT 남성 풀패키지 기모니트 3종,의류,79900,48799000,611,Tuesday,No,Yes
16,2019-01-01 10:20,20,CERINI by PAT 남성 풀패키지 기모니트 3종,의류,79900,97907000,1226,Tuesday,No,Yes
17,2019-01-01 10:40,20,CERINI by PAT 남성 풀패키지 기모니트 3종,의류,79900,112972000,1414,Tuesday,No,Yes
18,2019-01-01 11:00,20,크로커다일 The 편안한 코튼 브라팬티 4세트,속옷,69900,24531000,351,Tuesday,No,Yes
19,2019-01-01 11:20,20,크로커다일 The 편안한 코튼 브라팬티 4세트,속옷,69900,49829000,713,Tuesday,No,Yes
20,2019-01-01 12:00,20,에코라믹 통주물 스톤 냄비세트,주방,60900,33823000,556,Tuesday,No,Yes
21,2019-01-01 12:20,20,에코라믹 통주물 스톤 냄비세트,주방,60900,59083000,971,Tuesday,No,Yes
22,2019-01-01 12:40,20,에코라믹 통주물 스톤 냄비세트,주방,60900,99235000,1630,Tuesday,No,Yes
23,2019-01-01 13:00,30,오모떼 360도 텐션업 레이스 패키지 시즌4,속옷,109000,32273000,297,Tuesday,No,Yes
24,2019-01-01 13:30,30,오모떼 360도 텐션업 레이스 패키지 시즌4,속옷,109000,79273000,728,Tuesday,No,Yes
25,2019-01-01 14:00,30,그렉노먼 남성 구스다운 롱 벤치코트,의류,119000,11269000,95,Tuesday,No,Yes
26,2019-01-01 14:00,30,그렉노먼 여성 구스다운 롱 벤치코트,의류,119000,20841000,176,Tuesday,No,Yes
27,2019-01-01 14:30,30,그렉노먼 남성 구스다운 롱 벤치코트,의류,119000,40526000,341,Tuesday,No,Yes
28,2019-01-01 14:30,30,그렉노먼 여성 구스다운 롱 벤치코트,의류,119000,47294000,398,Tuesday,No,Yes
29,2019-01-01 15:00,20,뽕셰프 이봉원 특갈비탕 12팩,농수축,60900,14113000,232,Tuesday,No,Yes
30,2019-01-01 15:20,20,뽕셰프 이봉원 특갈비탕 12팩,농수축,60900,32395000,532,Tuesday,No,Yes
31,2019-01-01 15:40,20,뽕셰프 이봉원 특갈비탕 12팩,농수축,60900,39669000,652,Tuesday,No,Yes
32,2019-01-01 16:00,20,국내산 손질갑오징어 8팩,농수축,49900,60787000,1219,Tuesday,No,Yes
33,2019-01-01 16:20,20,국내산 손질갑오징어 8팩,농수축,49900,115457000,2314,Tuesday,No,Yes
34,2019-01-01 16:40,20,멋진밥상 흥양농협 햅쌀 20kg,농수축,61000,83893000,1376,Tuesday,No,Yes
35,2019-01-01 17:00,20,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,39800,42239000,1062,Tuesday,No,Yes
36,2019-01-01 17:20,20,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,39800,73494000,1847,Tuesday,No,Yes
37,2019-01-01 17:40,20,비버리힐스폴로클럽 남성기초세트(2018FW골드),이미용,39800,107103000,2692,Tuesday,No,Yes
38,2019-01-01 18:00,20,우리바다 손질왕꼬막 24팩,농수축,39900,59050000,1480,Tuesday,No,Yes
39,2019-01-01 18:20,20,우리바다 손질왕꼬막 24팩,농수축,39900,85937000,2154,Tuesday,No,Yes
40,2019-01-01 18:40,20,우리바다 손질왕꼬막 24팩,농수축,39900,101468000,2544,Tuesday,No,Yes
41,2019-01-01 19:00,20,푸마 에어핏 서포트 브라세트 15종+4종,속옷,119000,36620000,308,Tuesday,No,Yes
42,2019-01-01 19:20,20,푸마 에어핏 서포트 브라세트 15종+4종,속옷,119000,69349000,583,Tuesday,No,Yes
43,2019-01-01 19:40,20,푸마 에어핏 서포트 브라세트 15종+4종,속옷,119000,84610000,712,Tuesday,No,Yes
44,2019-01-01 20:00,20,일시불 LG 통돌이 세탁기,가전,439000,35519000,81,Tuesday,No,Yes
45,2019-01-01 20:00,20,무이자 LG 통돌이 세탁기,가전,489000,19123000,40,Tuesday,No,Yes
46,2019-01-01 20:20,20,일시불 LG 통돌이 세탁기,가전,439000,56859000,130,Tuesday,No,Yes
47,2019-01-01 20:20,20,무이자 LG 통돌이 세탁기,가전,489000,58685000,121,Tuesday,No,Yes
48,2019-01-01 20:40,20,일시불 LG 통돌이 세탁기,가전,439000,68320000,156,Tuesday,No,Yes
49,2019-01-01 20:40,20,무이자 LG 통돌이 세탁기,가전,489000,46068000,95,Tuesday,No,Yes
50,2019-01-01 21:00,20,마리노블 밍크 롱코트,의류,499000,16362000,33,Tuesday,No,Yes
51,2019-01-01 21:20,20,마리노블 밍크 롱코트,의류,499000,53791000,108,Tuesday,No,Yes
52,2019-01-01 21:40,20,마리노블 밍크 롱코트,의류,499000,84562000,170,Tuesday,No,Yes
53,2019-01-01 22:00,30,헤스티지 엘레나 라쿤양가죽 콤비 롱코트,의류,299000,38067000,128,Tuesday,No,Yes
54,2019-01-01 22:30,30,헤스티지 엘레나 라쿤양가죽 콤비 롱코트,의류,299000,77764000,261,Tuesday,No,Yes
55,2019-01-01 23:00,20,로베르타 디 까메리노 올레이스 지퍼브라팬티,속옷,89900,23075000,257,Tuesday,No,Yes
56,2019-01-01 23:20,20,로베르타 디 까메리노 올레이스 지퍼브라팬티,속옷,89900,39452000,439,Tuesday,No,Yes
57,2019-01-01 23:40,20,로베르타 디 까메리노 올레이스 지퍼브라팬티,속옷,89900,60010000,668,Tuesday,No,Yes
58,2019-01-02 0:00,20,그렉노먼 남성 캐시터치 터틀넥 4종,의류,69900,6082000,88,Wednesday,No,No
59,2019-01-02 0:00,20,그렉노먼 여성 캐시터치 터틀넥 4종,의류,69900,6445000,93,Wednesday,No,No
60,2019-01-02 0:20,20,그렉노먼 남성 캐시터치 터틀넥 4종,의류,69900,11985000,172,Wednesday,No,No
61,2019-01-02 0:20,20,그렉노먼 여성 캐시터치 터틀넥 4종,의류,69900,8491000,122,Wednesday,No,No
62,2019-01-02 0:40,20,그렉노먼 남성 캐시터치 터틀넥 4종,의류,69900,16461000,236,Wednesday,No,No
63,2019-01-02 0:40,20,그렉노먼 여성 캐시터치 터틀넥 4종,의류,69900,10641000,153,Wednesday,No,No
64,2019-01-02 1:00,20,레이프릴 무빙 맥시풀커버 브라팬티,속옷,69900,9647000,139,Wednesday,No,No
65,2019-01-02 1:20,20,레이프릴 무빙 맥시풀커버 브라팬티,속옷,69900,15516000,222,Wednesday,No,No
66,2019-01-02 1:40,17,레이프릴 무빙 맥시풀커버 브라팬티,속옷,69900,18695000,268,Wednesday,No,No
67,2019-01-02 6:00,20,벨라홈 논슬립 옷걸이 세트,생활용품,29800,9605000,323,Wednesday,No,No
68,2019-01-02 6:20,20,벨라홈 논슬립 옷걸이 세트,생활용품,29800,11265000,379,Wednesday,No,No
69,2019-01-02 6:40,20,벨라홈 논슬립 옷걸이 세트,생활용품,29800,14371000,483,Wednesday,No,No
70,2019-01-02 7:00,20,(직매입) 종근당건강 아이클리어 루테인,건강기능,69000,14944000,217,Wednesday,No,No
71,2019-01-02 7:20,20,(직매입) 종근당건강 아이클리어 루테인,건강기능,69000,25881000,376,Wednesday,No,No
72,2019-01-02 7:40,20,(직매입) 종근당건강 아이클리어 루테인,건강기능,69000,30126000,437,Wednesday,No,No
73,2019-01-02 8:00,20,오모떼 레이스 파운데이션 브라,속옷,59000,11314000,192,Wednesday,No,No
74,2019-01-02 8:20,20,오모떼 레이스 파운데이션 브라,속옷,59000,21397000,363,Wednesday,No,No
75,2019-01-02 8:40,20,오모떼 레이스 파운데이션 브라,속옷,59000,34822000,591,Wednesday,No,No
76,2019-01-02 9:00,20,NNF 쿠션퍼자켓+베스트,의류,39900,12607000,316,Wednesday,No,No
77,2019-01-02 9:20,20,NNF 쿠션퍼자켓+베스트,의류,39900,23042000,578,Wednesday,No,No
78,2019-01-02 9:40,20,NNF 쿠션퍼자켓+베스트,의류,39900,38449000,964,Wednesday,No,No
79,2019-01-02 10:00,20,일시불 쿠첸 풀스텐 압력밥솥 10인용 (A1),주방,158000,7239000,46,Wednesday,No,No
80,2019-01-02 10:00,20,무이자 쿠첸 풀스텐 압력밥솥 10인용(A1),주방,168000,8951000,54,Wednesday,No,No
81,2019-01-02 10:00,20,일시불 쿠첸 풀스텐 압력밥솥 6인용(A1),주방,148000,2118000,15,Wednesday,No,No
82,2019-01-02 10:00,20,무이자 쿠첸 풀스텐 압력밥솥 6인용(A1),주방,158000,2262000,15,Wednesday,No,No
83,2019-01-02 10:20,20,일시불 쿠첸 풀스텐 압력밥솥 10인용 (A1),주방,158000,27223000,173,Wednesday,No,No
84,2019-01-02 10:20,20,무이자 쿠첸 풀스텐 압력밥솥 10인용(A1),주방,168000,13074000,78,Wednesday,No,No
85,2019-01-02 10:20,20,일시불 쿠첸 풀스텐 압력밥솥 6인용(A1),주방,148000,9408000,64,Wednesday,No,No
86,2019-01-02 10:20,20,무이자 쿠첸 풀스텐 압력밥솥 6인용(A1),주방,158000,4507000,29,Wednesday,No,No
87,2019-01-02 10:40,20,일시불 쿠첸 풀스텐 압력밥솥 10인용 (A1),주방,158000,44478000,282,Wednesday,No,No
88,2019-01-02 10:40,20,무이자 쿠첸 풀스텐 압력밥솥 10인용(A1),주방,168000,18925000,113,Wednesday,No,No
89,2019-01-02 10:40,20,일시불 쿠첸 풀스텐 압력밥솥 6인용(A1),주방,148000,13024000,88,Wednesday,No,No
90,2019-01-02 10:40,20,무이자 쿠첸 풀스텐 압력밥솥 6인용(A1),주방,158000,3368000,22,Wednesday,No,No
91,2019-01-02 11:00,30,헤스티지 엘레나 라쿤양가죽 콤비 롱코트,의류,299000,29763000,100,Wednesday,No,No
92,2019-01-02 11:30,30,헤스티지 엘레나 라쿤양가죽 콤비 롱코트,의류,299000,66392000,223,Wednesday,No,No
93,2019-01-02 12:00,20,무이자 린나이 간편쿡 자동불꽃조절 가스레인지 3구,주방,238000,10107000,43,Wednesday,No,No
94,2019-01-02 12:00,20,일시불 린나이 간편쿡 자동불꽃조절 가스레인지 3구,주방,228000,2270000,10,Wednesday,No,No
95,2019-01-02 12:00,20,무이자 린나이 간편쿡 자동불꽃조절 가스레인지 2구,주방,218000,1469000,7,Wednesday,No,No
96,2019-01-02 12:00,20,일시불 린나이 간편쿡 자동불꽃조절 가스레인지 2구,주방,208000,2757000,14,Wednesday,No,No
97,2019-01-02 12:20,20,무이자 린나이 간편쿡 자동불꽃조절 가스레인지 3구,주방,238000,17801000,75,Wednesday,No,No
98,2019-01-02 12:20,20,일시불 린나이 간편쿡 자동불꽃조절 가스레인지 3구,주방,228000,17732000,78,Wednesday,No,No
99,2019-01-02 12:20,20,무이자 린나이 간편쿡 자동불꽃조절 가스레인지 2구,주방,218000,10627000,49,Wednesday,No,No
100,2019-01-02 12:20,20,일시불 린나이 간편쿡 자동불꽃조절 가스레인지 2구,주방,208000,4731000,23,Wednesday,No,No
101,2019-01-02 12:40,20,무이자 린나이 간편쿡 자동불꽃조절 가스레인지 3구,주방,238000,25462000,107,Wednesday,No,No
102,2019-01-02 12:40,20,일시불 린나이 간편쿡 자동불꽃조절 가스레인지 3구,주방,228000,21428000,94,Wednesday,No,No
103,2019-01-02 12:40,20,무이자 린나이 간편쿡 자동불꽃조절 가스레인지 2구,주방,218000,6384000,30,Wednesday,No,No
104,2019-01-02 12:40,20,일시불 린나이 간편쿡 자동불꽃조절 가스레인지 2구,주방,208000,4095000,20,Wednesday,No,No
105,2019-01-02 13:00,20,하늘내린 용대리황태10미,농수축,32900,29599000,900,Wednesday,No,No
106,2019-01-02 13:20,20,하늘내린 용대리황태10미,농수축,32900,40882000,1243,Wednesday,No,No
107,2019-01-02 13:40,20,하늘내린 용대리황태10미,농수축,32900,42466000,1291,Wednesday,No,No
108,2019-01-02 14:00,30,오모떼 360도 텐션업 레이스 패키지 시즌4,속옷,109000,28456000,262,Wednesday,No,No
109,2019-01-02 14:30,30,오모떼 360도 텐션업 레이스 패키지 시즌4,속옷,109000,56800000,522,Wednesday,No,No
110,2019-01-02 15:00,20,안동간고등어 20팩,농수축,30900,41722000,1351,Wednesday,No,No
111,2019-01-02 15:20,20,안동간고등어 20팩,농수축,30900,43167000,1397,Wednesday,No,No
112,2019-01-02 15:40,20,안동간고등어 20팩,농수축,30900,70322000,2276,Wednesday,No,No
113,2019-01-02 16:00,20,"SPC삼립 한입 호빵 13봉(혼합, 팥8+야채5봉)",농수축,30900,11931000,387,Wednesday,No,No
114,2019-01-02 16:00,20,"SPC삼립 한입 호빵 13봉(단일, 팥 13봉)",농수축,30900,6694000,217,Wednesday,No,No
115,2019-01-02 16:20,20,"SPC삼립 한입 호빵 13봉(혼합, 팥8+야채5봉)",농수축,30900,16983000,550,Wednesday,No,No
116,2019-01-02 16:20,20,"SPC삼립 한입 호빵 13봉(단일, 팥 13봉)",농수축,30900,9744000,316,Wednesday,No,No
117,2019-01-02 16:40,20,"SPC삼립 한입 호빵 13봉(혼합, 팥8+야채5봉)",농수축,30900,18931000,613,Wednesday,No,No
118,2019-01-02 16:40,20,"SPC삼립 한입 호빵 13봉(단일, 팥 13봉)",농수축,30900,11181000,362,Wednesday,No,No
119,2019-01-02 17:00,20,바다먹자 국내산 손질꽃게 7팩,농수축,59900,30903000,516,Wednesday,No,No
120,2019-01-02 17:20,20,바다먹자 국내산 손질꽃게 7팩,농수축,59900,50056000,836,Wednesday,No,No
121,2019-01-02 17:40,20,바다먹자 국내산 손질꽃게 7팩,농수축,59900,49237000,822,Wednesday,No,No
122,2019-01-02 18:00,20,키친플라워 대용량 디지털 에어프라이어 5L,주방,89800,22422000,250,Wednesday,No,No
123,2019-01-02 18:20,20,키친플라워 대용량 디지털 에어프라이어 5L,주방,89800,33817000,377,Wednesday,No,No
124,2019-01-02 18:40,20,키친플라워 대용량 디지털 에어프라이어 5L,주방,89800,44814000,500,Wednesday,No,No
125,2019-01-02 19:00,20,피시원 국내산 손질 대구 8팩 * 매운탕 양념 8팩,농수축,59900,25985000,434,Wednesday,No,No
126,2019-01-02 19:20,20,피시원 국내산 손질 대구 8팩 * 매운탕 양념 8팩,농수축,59900,36647000,612,Wednesday,No,No
127,2019-01-02 19:40,20,피시원 국내산 손질 대구 8팩 * 매운탕 양념 8팩,농수축,59900,65853000,1100,Wednesday,No,No
128,2019-01-02 20:00,20,푸마 코튼 라이크라 드로즈 12종,속옷,89000,18424000,208,Wednesday,No,No
