num,방송일시,노출(분),마더코드,상품코드,상품명,상품군,판매단가, 취급액 ,요일,휴일,공휴일
1,2019-01-01 6:00,20,100346,201072,테이트 남성 셀린니트3종,의류,"39,900","2,099,000",Tuesday,No,Yes
2,2019-01-01 6:00,20,100346,201079,테이트 여성 셀린니트3종,의류,"39,900","4,371,000",Tuesday,No,Yes
3,2019-01-01 6:20,20,100346,201072,테이트 남성 셀린니트3종,의류,"39,900","3,262,000",Tuesday,No,Yes
4,2019-01-01 6:20,20,100346,201079,테이트 여성 셀린니트3종,의류,"39,900","6,955,000",Tuesday,No,Yes
5,2019-01-01 6:40,20,100346,201072,테이트 남성 셀린니트3종,의류,"39,900","6,672,000",Tuesday,No,Yes
6,2019-01-01 6:40,20,100346,201079,테이트 여성 셀린니트3종,의류,"39,900","9,337,000",Tuesday,No,Yes
7,2019-01-01 7:00,20,100305,200974,오모떼 레이스 파운데이션 브라,속옷,"59,000","6,819,000",Tuesday,No,Yes
8,2019-01-01 7:20,20,100305,200974,오모떼 레이스 파운데이션 브라,속옷,"59,000","15,689,000",Tuesday,No,Yes
9,2019-01-01 7:40,20,100305,200974,오모떼 레이스 파운데이션 브라,속옷,"59,000","25,370,000",Tuesday,No,Yes
10,2019-01-01 8:00,20,100808,202377,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,의류,"59,900","16,133,000",Tuesday,No,Yes
11,2019-01-01 8:20,20,100808,202377,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,의류,"59,900","30,061,000",Tuesday,No,Yes
12,2019-01-01 8:40,20,100808,202377,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,의류,"59,900","53,542,000",Tuesday,No,Yes
13,2019-01-01 9:00,20,100816,202404,보코 리버시블 무스탕,의류,"79,000","16,075,000",Tuesday,No,Yes
14,2019-01-01 9:20,20,100816,202404,보코 리버시블 무스탕,의류,"79,000","25,628,000",Tuesday,No,Yes
15,2019-01-01 9:40,20,100816,202404,보코 리버시블 무스탕,의류,"79,000","49,270,000",Tuesday,No,Yes
16,2019-01-01 10:00,20,100809,202395,CERINI by PAT 남성 풀패키지 기모니트 3종,의류,"79,900","48,799,000",Tuesday,No,Yes
17,2019-01-01 10:20,20,100809,202395,CERINI by PAT 남성 풀패키지 기모니트 3종,의류,"79,900","97,907,000",Tuesday,No,Yes
18,2019-01-01 10:40,20,100809,202395,CERINI by PAT 남성 풀패키지 기모니트 3종,의류,"79,900","112,972,000",Tuesday,No,Yes
19,2019-01-01 11:00,20,100664,201999,크로커다일 The 편안한 코튼 브라팬티 4세트,속옷,"69,900","24,531,000",Tuesday,No,Yes
20,2019-01-01 11:20,20,100664,201999,크로커다일 The 편안한 코튼 브라팬티 4세트,속옷,"69,900","49,829,000",Tuesday,No,Yes
21,2019-01-01 12:00,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,"60,900","33,823,000",Tuesday,No,Yes
22,2019-01-01 12:20,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,"60,900","59,083,000",Tuesday,No,Yes
23,2019-01-01 12:40,20,100088,200236,에코라믹 통주물 스톤 냄비세트,주방,"60,900","99,235,000",Tuesday,No,Yes
24,2019-01-01 13:00,30,100305,200970,오모떼 360도 텐션업 레이스 패키지 시즌4,속옷,"109,000","32,273,000",Tuesday,No,Yes
25,2019-01-01 13:30,30,100305,200970,오모떼 360도 텐션업 레이스 패키지 시즌4,속옷,"109,000","79,273,000",Tuesday,No,Yes
26,2019-01-01 14:00,30,100377,201220,그렉노먼 남성 구스다운 롱 벤치코트,의류,"119,000","11,269,000",Tuesday,No,Yes
27,2019-01-01 14:00,30,100377,201226,그렉노먼 여성 구스다운 롱 벤치코트,의류,"119,000","20,841,000",Tuesday,No,Yes
28,2019-01-01 14:30,30,100377,201220,그렉노먼 남성 구스다운 롱 벤치코트,의류,"119,000","40,526,000",Tuesday,No,Yes
29,2019-01-01 14:30,30,100377,201226,그렉노먼 여성 구스다운 롱 벤치코트,의류,"119,000","47,294,000",Tuesday,No,Yes
30,2019-01-01 15:00,20,100496,201497,뽕셰프 이봉원 특갈비탕 12팩,농수축,"60,900","14,113,000",Tuesday,No,Yes
31,2019-01-01 15:20,20,100496,201497,뽕셰프 이봉원 특갈비탕 12팩,농수축,"60,900","32,395,000",Tuesday,No,Yes
32,2019-01-01 15:40,20,100496,201497,뽕셰프 이봉원 특갈비탕 12팩,농수축,"60,900","39,669,000",Tuesday,No,Yes
