,방송일시,노출(분),상품명,상품군,판매단가,취급액,판매수량,요일,휴일,공휴일
0,2019-01-01 6:00,20,테이트 남성 셀린니트3종,6,0,2099000,53,Tuesday,No,Yes
1,2019-01-01 6:00,20,테이트 여성 셀린니트3종,6,0,4371000,110,Tuesday,No,Yes
2,2019-01-01 6:20,20,테이트 남성 셀린니트3종,6,0,3262000,82,Tuesday,No,Yes
3,2019-01-01 6:20,20,테이트 여성 셀린니트3종,6,0,6955000,175,Tuesday,No,Yes
4,2019-01-01 6:40,20,테이트 남성 셀린니트3종,6,0,6672000,168,Tuesday,No,Yes
5,2019-01-01 6:40,20,테이트 여성 셀린니트3종,6,0,9337000,235,Tuesday,No,Yes
6,2019-01-01 7:00,20,오모떼 레이스 파운데이션 브라,5,0,6819000,116,Tuesday,No,Yes
7,2019-01-01 7:20,20,오모떼 레이스 파운데이션 브라,5,0,15689000,266,Tuesday,No,Yes
8,2019-01-01 7:40,20,오모떼 레이스 파운데이션 브라,5,0,25370000,430,Tuesday,No,Yes
9,2019-01-01 8:00,20,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,6,0,16133000,270,Tuesday,No,Yes
10,2019-01-01 8:20,20,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,6,0,30061000,502,Tuesday,No,Yes
11,2019-01-01 8:40,20,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,6,0,53542000,894,Tuesday,No,Yes
12,2019-01-01 9:00,20,보코 리버시블 무스탕,6,0,16075000,204,Tuesday,No,Yes
13,2019-01-01 9:20,20,보코 리버시블 무스탕,6,0,25628000,325,Tuesday,No,Yes
14,2019-01-01 9:40,20,보코 리버시블 무스탕,6,0,49270000,624,Tuesday,No,Yes
15,2019-01-01 10:00,20,CERINI by PAT 남성 풀패키지 기모니트 3종,6,0,48799000,611,Tuesday,No,Yes
16,2019-01-01 10:20,20,CERINI by PAT 남성 풀패키지 기모니트 3종,6,0,97907000,1226,Tuesday,No,Yes
17,2019-01-01 10:40,20,CERINI by PAT 남성 풀패키지 기모니트 3종,6,0,112972000,1414,Tuesday,No,Yes
18,2019-01-01 11:00,20,크로커다일 The 편안한 코튼 브라팬티 4세트,5,0,24531000,351,Tuesday,No,Yes
19,2019-01-01 11:20,20,크로커다일 The 편안한 코튼 브라팬티 4세트,5,0,49829000,713,Tuesday,No,Yes
20,2019-01-01 12:00,20,에코라믹 통주물 스톤 냄비세트,9,0,33823000,556,Tuesday,No,Yes
21,2019-01-01 12:20,20,에코라믹 통주물 스톤 냄비세트,9,0,59083000,971,Tuesday,No,Yes
22,2019-01-01 12:40,20,에코라믹 통주물 스톤 냄비세트,9,0,99235000,1630,Tuesday,No,Yes
23,2019-01-01 13:00,30,오모떼 360도 텐션업 레이스 패키지 시즌4,5,0,32273000,297,Tuesday,No,Yes
24,2019-01-01 13:30,30,오모떼 360도 텐션업 레이스 패키지 시즌4,5,0,79273000,728,Tuesday,No,Yes
25,2019-01-01 14:00,30,그렉노먼 남성 구스다운 롱 벤치코트,6,0,11269000,95,Tuesday,No,Yes
